time,batt,c,heading,pitch,roll,T
2024-01-12 12:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 12:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 12:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 13:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 13:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 13:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 13:35:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 13:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 13:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 14:05:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 14:15:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 14:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 14:35:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 14:45:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 14:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 15:05:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 15:15:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 15:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 15:35:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 15:45:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 15:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.56
2024-01-12 16:05:06,14.30,1509.6,80.2,-1.10,-0.49,16.55
2024-01-12 16:15:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 16:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 16:35:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 16:45:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 16:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 17:05:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 17:15:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 17:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 17:35:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 17:45:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 17:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 18:05:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 18:15:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 18:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 18:35:06,14.30,1509.6,80.2,-1.11,-0.50,16.55
2024-01-12 18:45:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 18:55:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 19:05:06,14.30,1509.6,80.2,-1.11,-0.49,16.55
2024-01-12 19:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 19:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 19:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 19:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 19:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.55
2024-01-12 20:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 20:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 20:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 20:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.55
2024-01-12 20:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 20:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 21:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 21:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.55
2024-01-12 21:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.54
2024-01-12 21:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.54
2024-01-12 21:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.54
2024-01-12 21:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.54
2024-01-12 22:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.54
2024-01-12 22:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.54
