blk,umean,urms,vmean,vrms,wmean,corr,fbad,p
255,0.00327,0.14717,-0.11430,0.05030,-0.00733,95.6,0.0000,10.231
256,0.00579,0.15742,-0.11350,0.05398,-0.00767,95.3,0.0000,10.212
257,0.01453,0.17095,-0.11814,0.05710,-0.00819,95.1,0.0000,10.178
258,0.00819,0.15980,-0.09507,0.05455,-0.00613,94.8,0.0000,10.121
259,0.00211,0.17220,-0.09202,0.05269,-0.00516,95.2,0.0000,10.047
260,0.01041,0.18634,-0.08120,0.05316,-0.00624,95.5,0.0000,9.961
261,0.01235,0.18870,-0.06893,0.05537,-0.00579,95.9,0.0000,9.881
262,0.01628,0.20465,-0.07063,0.05184,-0.00544,95.9,0.0000,9.789
263,0.01752,0.20488,-0.05784,0.05683,-0.00544,96.3,0.0000,9.691
264,0.00908,0.22187,-0.05511,0.05303,-0.00518,96.4,0.0000,9.592
265,0.00668,0.23069,-0.05689,0.05222,-0.00487,96.6,0.0000,9.489
266,-0.01133,0.21946,-0.03894,0.05363,-0.00256,95.8,0.0000,9.391
267,-0.01946,0.23091,-0.02101,0.05421,-0.00146,95.4,0.0000,9.291
268,-0.00462,0.26670,-0.03274,0.05862,-0.00322,93.3,0.0000,9.198
269,0.01927,0.26904,-0.01809,0.05498,-0.00216,92.2,0.0004,9.124
270,0.00543,0.28064,0.00058,0.06059,0.00106,92.9,0.0004,9.048
271,-0.01366,0.29139,0.00928,0.06719,-0.00041,93.9,0.0000,8.986
272,-0.01760,0.27062,0.02401,0.06017,-0.00028,94.1,0.0000,8.930
273,-0.01613,0.31790,0.03624,0.06000,-0.00244,93.1,0.0000,8.888
274,-0.00213,0.29108,0.03166,0.05878,-0.00067,92.2,0.0000,8.867
275,0.00085,0.31914,0.03623,0.06200,-0.00329,91.0,0.0050,8.857
276,-0.00368,0.28519,0.04400,0.05884,-0.00305,91.4,0.0042,8.856
277,-0.02225,0.26182,0.05252,0.05899,-0.00250,93.6,0.0008,8.884
278,-0.03912,0.25478,0.05340,0.05817,-0.00313,94.8,0.0008,8.911
279,-0.04553,0.26073,0.04136,0.05746,-0.00394,95.4,0.0000,8.952
280,-0.05625,0.25741,0.03194,0.06543,-0.00484,95.5,0.0000,9.010
281,-0.00620,0.29238,0.02444,0.06471,-0.00233,94.2,0.0013,9.066
282,0.02078,0.29188,0.02782,0.05876,-0.00440,94.8,0.0004,9.122
283,0.02372,0.30126,-0.00435,0.06763,-0.00420,94.7,0.0025,9.193
284,0.01457,0.27254,-0.01734,0.07062,-0.00237,95.8,0.0004,9.258
285,-0.01132,0.26560,-0.03042,0.06978,-0.00223,96.6,0.0000,9.331
286,-0.01664,0.27873,-0.06047,0.06126,-0.00516,95.6,0.0000,9.400
287,-0.01232,0.27109,-0.06680,0.07188,-0.00573,91.5,0.0017,9.468
288,-0.01598,0.25958,-0.05549,0.07271,-0.00459,89.3,0.0000,9.520
289,-0.01401,0.27572,-0.07113,0.07280,-0.00583,91.4,0.0000,9.575
290,-0.02218,0.25077,-0.10236,0.07237,-0.00901,91.3,0.0000,9.618
291,-0.01206,0.25670,-0.10336,0.07282,-0.00899,93.4,0.0000,9.649
292,-0.00871,0.25973,-0.12182,0.07411,-0.00944,93.5,0.0000,9.662
293,-0.00863,0.26472,-0.11407,0.07452,-0.00992,91.4,0.0000,9.659
294,0.02195,0.22091,-0.07432,0.07505,-0.00673,93.8,0.0000,9.638
295,0.02650,0.24335,-0.03205,0.07630,-0.00261,95.8,0.0000,9.605
296,0.01710,0.25131,-0.02067,0.07713,0.00080,94.5,0.0000,9.568
297,0.00171,0.21369,-0.03073,0.07361,-0.00131,94.6,0.0000,9.535
298,0.00736,0.24430,-0.03064,0.07392,-0.00077,94.2,0.0013,9.491
299,0.00608,0.23400,-0.00281,0.07410,0.00078,94.3,0.0004,9.441
300,-0.00327,0.22914,0.01312,0.07748,0.00333,90.7,0.0013,9.387
301,-0.00684,0.24845,0.02815,0.07184,0.00178,91.2,0.0029,9.321
302,-0.00105,0.22450,0.03326,0.06936,-0.00022,94.0,0.0000,9.263
303,0.00406,0.23648,0.03770,0.06545,-0.00042,92.8,0.0008,9.205
304,0.00575,0.24557,0.03581,0.07253,0.00109,92.4,0.0017,9.159
305,0.00554,0.22499,0.04043,0.07207,-0.00098,93.9,0.0004,9.108
306,0.00183,0.21763,0.04714,0.06720,-0.00091,94.1,0.0008,9.079
307,0.00424,0.22174,0.04974,0.06975,-0.00223,94.0,0.0013,9.058
308,0.01010,0.20777,0.06016,0.06674,-0.00312,94.3,0.0021,9.046
309,0.02212,0.21235,0.06357,0.06376,-0.00563,95.7,0.0000,9.056
310,0.00477,0.24435,0.08102,0.06488,-0.00478,95.4,0.0000,9.076
311,-0.04308,0.23007,0.07911,0.07200,-0.00671,94.9,0.0000,9.120
312,-0.01779,0.25448,0.06708,0.07755,-0.00225,94.5,0.0000,9.161
313,-0.00429,0.25254,0.06142,0.07538,-0.00388,94.8,0.0000,9.212
314,0.00112,0.24022,0.05553,0.06918,-0.00305,93.7,0.0000,9.284
315,-0.00064,0.21441,0.05040,0.07170,-0.00261,94.3,0.0000,9.367
316,-0.01285,0.20048,0.04332,0.07510,0.00091,94.3,0.0000,9.464
317,0.00162,0.20661,0.05873,0.07396,-0.00214,94.8,0.0000,9.553
318,0.01771,0.19428,0.06607,0.07518,-0.00409,94.9,0.0000,9.663
319,0.02636,0.20100,0.06453,0.07786,-0.00608,94.6,0.0000,9.770
320,0.03754,0.19487,0.06295,0.08394,-0.00698,94.7,0.0000,9.868
321,0.04394,0.19463,0.05219,0.08664,-0.00543,94.7,0.0000,9.979
322,0.04120,0.19174,0.03849,0.08453,-0.00374,94.9,0.0000,10.083
323,0.03210,0.19267,0.01376,0.08189,-0.00225,94.7,0.0000,10.163
324,0.01551,0.19609,-0.00654,0.08658,-0.00075,94.4,0.0000,10.237
325,0.00546,0.21196,-0.03118,0.08232,-0.00045,94.4,0.0000,10.296
326,-0.00560,0.19236,-0.04418,0.07849,-0.00285,94.6,0.0000,10.336
327,-0.02495,0.18515,-0.07482,0.08125,-0.00819,95.0,0.0000,10.377
328,-0.01084,0.18606,-0.08317,0.08540,-0.00919,95.3,0.0000,10.395
329,-0.01366,0.17543,-0.10346,0.08182,-0.00930,95.4,0.0000,10.381
330,-0.00857,0.18680,-0.10286,0.07533,-0.00822,95.4,0.0000,10.350
